id,enseignement,module,orientation,annee,ects,responsable,rattachement,autres_enseignants,nb_competences,nb_validees,statut
INTRGEOCISOT,Introduction à la géochimie isotopique,M7b (SE) ; M4 (Géologie),Sciences de l'environnement,3e,3,Torsten Vennemann,FGSE,B. Bomou ; M. Galvez,0,0,À documenter
PETRMAGMMETA,Pétrographie magmatique et métamorphique,M1 – Géologie structurale et pétrologie,Géologie,2e,3,Othmar Müntener,FGSE,P. Lanari,0,0,À documenter
GEOLSTRU,Géologie structurale,M1 – Géologie structurale et pétrologie,Géologie,2e,6,Anindita Samsu,FGSE,,0,0,À documenter
CAMPGEOLSTRU,Camp de géologie structurale,M1 – Géologie structurale et pétrologie,Géologie,2e,3,Anindita Samsu,FGSE,,0,0,À documenter
CAMPPETRMAGM,Camp de pétrologie magmatique,M1 – Géologie structurale et pétrologie,Géologie,2e,3,Othmar Müntener,FGSE,S. Pilet,0,0,À documenter
SEDIPHYS,Sédimentologie physique,"M2 – Sédimentologie, géomorphologie et paléontologie",Géologie,2e,3,Samuel Jaccard,FGSE,B. Bomou,0,0,À documenter
PALEON,Paléontologie,"M2 – Sédimentologie, géomorphologie et paléontologie",Géologie,2e,3,Allison Daley,FGSE,A. Pictet,3,3,Documenté
CAMPSTRASEDI,Camp de stratigraphie et sédimentologie,"M2 – Sédimentologie, géomorphologie et paléontologie",Géologie,2e,3,Samuel Jaccard,FGSE,B. Bomou,0,0,À documenter
TECTGEOD,Tectonique et géodynamique,M3 – Géophysique et risques,Géologie,2e,3,Stefan Schmalholz,FGSE,,3,3,Documenté
PETRMAGMAVA,Pétrologie magmatique et métamorphique (avancée),M5 – Géologie avancée,Géologie,3e,3,Pierre Lanari,FGSE,O. Müntener,0,0,À documenter
THERCINE,Thermodynamique et cinétique,M5 – Géologie avancée,Géologie,3e,3,Othmar Müntener,FGSE,J. Marin-Carbonne ; P. Lanari,0,0,À documenter
PETRMETACAMP,"Pétrologie métamorphique, camp",M5 – Géologie avancée,Géologie,3e,5,Pierre Lanari,FGSE,,0,0,À documenter
GEOLCHAIALPI,Géologie de la chaîne alpine,M5 – Géologie avancée,Géologie,3e,3,Othmar Müntener,FGSE,S. Schmalholz ; P. Lanari,0,0,À documenter
EROSTECTCLIM,"Erosion, tectonique et climat",M6 – Géologie de la surface terrestre,Géologie,3e,3,Guillaume Jouvet,FGSE,J.-D. Champagnac ; G. King,9,9,Documenté
HYDRGENE,Hydrogéologie générale,M6 – Géologie de la surface terrestre,Géologie,3e,3,Philippe Renard,UNINE,C. Roques (UNINE),0,0,À documenter
SEDIBIOC,Sédimentologie biochimique,M6 – Géologie de la surface terrestre,Géologie,3e,3,Samuel Jaccard,FGSE,,0,0,À documenter
CAMPCARTPALE,Camp de cartographie et paléontologie,M6 – Géologie de la surface terrestre,Géologie,3e,3,Allison Daley,FGSE,S. Jaccard ; B. Bomou,3,3,Documenté
GEOPEXPL,Géophysique d'exploration,M7 – Géologie de l'exploration,Géologie,3e,6,Klaus Holliger,FGSE,,2,2,Documenté
GEOPEXPLCAMP,Géophysique d'exploration – camp,M7 – Géologie de l'exploration,Géologie,3e,6,James Irving,FGSE,N. Linde ; B. Quintal,0,0,À documenter
GEOLINGE,Géologie de l'ingénieur,M7 – Géologie de l'exploration,Géologie,3e,3,"M. Violay (EPFL, coord.)",EPFL,O. Müntener ; P. Lanari,0,0,À documenter
GEOLINGEEXCU,"Géologie de l'ingénieur, excursion",M7 – Géologie de l'exploration,Géologie,3e,1,Beatriz Quintal,FGSE,L. Baron,3,3,Documenté
INTRMETE,Introduction à la météorologie,Module à choix libre,Choix libre,3e,3,(à préciser – FGSE),FGSE,,0,0,À documenter
